k (2**k),BTree,Treap,Hash Table,Skip List,Array of sorted array
15,0.0302131175994873,0.165928840637207,0.0165479183197021,0.1398468017578125,0.0311160087585449
16,0.0623090267181396,0.3403217792510986,0.0307579040527343,0.3306467533111572,0.0636968612670898
17,0.1341900825500488,0.7744379043579102,0.0674951076507568,0.8795509338378906,0.1336541175842285
18,0.2993600368499756,1.6250910758972168,0.1442470550537109,2.325670957565308,0.2623906135559082
19,0.7053089141845703,4.055048227310181,0.3013889789581299,5.130949020385742,0.5518369674682617
20,1.6719238758087158,9.454605102539062,0.5814731121063232,12.424065113067629,1.1167550086975098
21,3.800733804702759,21.421941995620728,1.225358963012695,32.310587882995605,2.313148736953736
22,7.910249948501587,46.9215579032898,2.554189920425415,72.07483077049255,4.873409986495972
23,17.961472034454346,100.40755605697632,5.399277687072754,170.339946269989,10.170587062835692
24,40.98828887939453,0.0,11.473727941513062,,21.81380605697632
25,,0.0,26.93948483467102,,47.695969104766846
26,,0.0,0.0,,
27,,0.0,,,
28,,0.0,,,
29,,0.0,,,
30,,0.0,,,
