units,2^k,k,Insertion sort,Merge sort,Counting sort,Quick sort (Lomuto's partition),Quick sort (Hoare's partition),Quick sort (3 way partition)
2,k = 1,1,4.76837158203125e-07,2.9087066650390623e-06,6.594657897949219e-05,9.059906005859376e-07,9.298324584960936e-07,1.4543533325195312e-06
4,k = 2,2,1.0251998901367187e-06,7.772445678710938e-06,6.54458999633789e-05,1.71661376953125e-06,2.002716064453125e-06,8.749961853027344e-06
8,k = 3,3,2.0742416381835936e-06,6.031990051269531e-06,0.000122308731079,3.6001205444335937e-06,4.076957702636719e-06,7.009506225585937e-06
16,k = 4,4,5.7220458984375e-06,1.4185905456542969e-05,6.945133209228516e-05,2.467632293701172e-05,8.940696716308594e-06,1.5115737915039062e-05
32,k = 5,5,2.0456314086914065e-05,3.3926963806152346e-05,0.0002184629440307,1.833438873291016e-05,6.172657012939407e-05,3.3807754516601565e-05
64,k = 6,6,7.834434509277344e-05,0.000166893005371,0.0002438306808471,3.7837028503417966e-05,4.270076751708984e-05,0.00027196407318112005
128,k = 7,7,0.0003133296966552,0.0001575708389281,9.191036224365234e-05,8.540153503417968e-05,0.0001567363739013,0.00049366950988764
256,k = 8,8,0.0012254714965819,0.0003438711166381,0.000245714187622,0.000192618370056,0.0002028465270995,0.00035796165466304
512,k = 9,9,0.0063215732574462,0.000753092765808,0.0004200696945189,0.000436758995056,0.0004691123962401,0.0016262531280517
1024,k = 10,10,0.0223639488220214,0.0017474889755248,0.0003468990325927,0.0011876106262206,0.0015079021453856,0.00157403945922847
2048,k = 11,11,0.0810509204864501,0.0050670862197875,0.0009773015975951,0.0033471822738646,0.0025929450988769,0.00430223941802973
4096,k = 12,12,0.3235848188400269,0.0087304115295409,0.0013357877731322,0.0061474323272704,0.0048424243927001,0.006793308258056581
8192,k = 13,13,1.293665361404419,0.0162457466125487,0.0021820068359374,0.0149158239364623,0.0099238157272338,0.011666536331176711
16384,k = 14,14,5.194229364395142,0.0343631982803344,0.0036630153656005,0.0310128450393676,0.0216771125793456,0.02282164096832271
32768,k = 15,15,20.973742246627808,0.0734701395034789,0.0073724508285522,0.0858436107635497,0.0432301998138427,0.0439060688018798
65536,k = 16,16,84.76998140811921,0.1627750873565673,0.0142059087753295,0.2680505990982055,0.0907856225967407,0.0879067420959472
131072,k = 17,17,338.65765116214754,0.3312546968460083,0.0277025938034057,0.914056944847107,0.1879642009735107,0.1731008052825927
262144,k = 18,18,1354.573965358734,0.7011553287506104,0.0560351610183715,3.3675363302230834,0.3897624254226685,0.3469767093658447
524288,k = 19,19,,1.476655077934265,0.1178811311721801,12.93606460094452,0.842893099784851,0.6846873998641968
1048576,k = 20,20,,3.119213175773621,0.2477004766464233,51.127561473846434,1.7673234701156617,1.4171893835067748
2097152,k = 21,21,,6.591934752464295,0.5109668731689453,202.68997843265527,3.779693937301636,2.894727373123169
4194304,k = 22,22,,13.86191747188568,1.0543208837509157,810.6090000629425,7.944224238395691,6.031965327262879
8388608,k = 23,23,,30.085034561157222,2.1143779277801515,3249.0610642910005,17.42158176898956,12.11823341846466
16777216,k = 24,24,,65.38093483448029,5.005598998069763,,38.18995673656464,25.00493905544281
33554432,k = 25,25,,135.65219049453736,10.097069454193116,,81.00116045475006,54.05235393047333
67108864,k = 26,26,,287.8863691568375,19.36624305248261,,170.89964158535005,114.80467369556428
134217728,k = 27,27,,,,,501.1991259813309,566.1120040893554
268435456,k = 28,28,,,,,,
536870912,k = 29,29,,,,,,
1073741824,k = 30,30,,,,,,
